TITLE,PRICE,SHIPPING,END_DATE,ENDED,URL,NOTE
Sports Illustrated 2019 New England Patriots Super Bowl 53 CHAMPIONS- BRADY GOAT,US $12.99,Free Shipping,5d 1h,LIVE,https://www.ebay.com/itm/153365281493,
New GPU Cooling Fan for Gigabyte Aero14 P64W Aero15 15X BS505HS-U2N,US $39.99,Free Shipping,May-06,LIVE,https://www.ebay.com/itm/372867090213,
Portable Monitor Corprit 13.3&quot; IPS USB Type-c&#x2f;HDMI Screen Display Gaming Monitor,US $119.99,+US $2.99Shipping,May-08,LIVE,https://www.ebay.com/itm/264125218341,
New Laptop GPU Cooling Fan For Gigabyte Aero14 P64W Aero15 15X BS505HS-U2N,US $33.45,+US $6.99Shipping,May-09,LIVE,https://www.ebay.com/itm/264526987932,
No Label SPORTS Illustrated CHICAGO CUBS WORLD SERIES Special Edition COVER 3&#x2f;4,US $7.99,+US $7.40Shipping,May-26,OUT OF STOCK,https://www.ebay.com/itm/392608722089,This item is out of stock
Sports Illustrated Magazine CLEMSON Special Championship Commemorative Issue,US $20.00,Free Shipping,May-28,LIVE,https://www.ebay.com/itm/233150607263,
"&nbsp;Mini Portable Monitor for Laptop,&nbsp;12.3&nbsp;Touchscreen&nbsp;with Ultra-Wide IPS&nbsp;FHD ",US $129.99,N/A,N/A,ENDED,https://www.ebay.com/itm/384039479495,
&#xd83d;&#xdd25; Apple iPhone X - 256GB - Space Gray &#x28;Unlocked&#x29; Bundle&#xd83d;&#xdd25;,US $380.00,N/A,N/A,ENDED,https://www.ebay.com/itm/174719955245,
Apple AirPort Extreme &#x28;Model A1301&#x29; 3rd gen. 802.11 a&#x2f;b&#x2f;g&#x2f;n&nbsp;,US $0.99,N/A,N/A,ENDED,https://www.ebay.com/itm/174719955194,The seller relisted this item.
Elegant Vintage Signed BSK Pave Faux Seedling Pearl Crystal Leaf Apple Brooch,US $4.25,N/A,N/A,ENDED,https://www.ebay.com/itm/274742492750,
